costs,locs,techs,cost_investment
monetary,N1,heat_pipes:X1,0.056536259265102
monetary,N1,heat_pipes:X2,0.0516788956020489
monetary,N1,heat_pipes:X3,0.120885928055007
monetary,X1,chp,118.142443869874
monetary,X1,heat_pipes:N1,0.056536259265102
monetary,X1,power_lines:X2,0.00828559589403181
monetary,X1,power_lines:X3,0.000690864523882727
monetary,X1,pv,0.0
monetary,X1,supply_gas,0.388946317267074
monetary,X1,supply_grid_power,2.02951606370999
monetary,X2,boiler,5.01701977998452
monetary,X2,heat_pipes:N1,0.0516788956020489
monetary,X2,power_lines:X1,0.00828559589403181
monetary,X2,pv,51.5935716200918
monetary,X2,supply_gas,0.136946083799223
monetary,X3,boiler,0.00073453430268941
monetary,X3,heat_pipes:N1,0.120885928055007
monetary,X3,power_lines:X1,0.000690864523882727
monetary,X3,pv,18.6923006730214
monetary,X3,supply_gas,1.1078948758513e-05
